iter	Passed	Remaining
146	255	1483
147	256	1476
148	257	1468
149	257	1460
150	258	1452
151	258	1444
152	259	1436
153	260	1428
154	260	1421
155	261	1413
156	261	1406
157	262	1399
158	263	1391
159	263	1384
160	264	1378
161	265	1370
162	265	1364
163	266	1357
164	266	1350
165	267	1344
166	268	1337
167	268	1331
168	269	1326
169	270	1321
170	271	1316
171	272	1311
172	273	1305
173	273	1299
174	274	1293
175	275	1288
176	275	1282
177	276	1276
178	277	1271
179	277	1265
180	278	1258
181	278	1253
182	279	1247
183	280	1242
184	280	1237
185	281	1231
186	282	1226
187	282	1221
188	283	1217
189	284	1212
190	285	1208
191	286	1203
192	286	1198
193	287	1193
194	287	1188
195	288	1183
196	289	1178
197	289	1173
198	290	1168
199	290	1163
200	291	1159
201	292	1154
202	292	1149
203	293	1145
204	294	1140
205	294	1135
206	295	1131
207	295	1126
208	296	1122
209	297	1118
210	297	1113
211	298	1109
212	299	1105
213	299	1101
214	300	1097
215	301	1093
216	301	1088
217	302	1084
218	302	1080
219	303	1076
220	304	1072
221	304	1068
222	305	1064
223	306	1060
224	306	1056
225	307	1052
226	307	1048
227	308	1044
228	309	1040
229	309	1037
230	310	1033
231	311	1029
232	311	1025
233	312	1022
234	313	1019
235	313	1015
236	314	1013
237	315	1010
238	316	1006
239	316	1002
240	317	1000
241	318	997
242	319	993
243	319	990
244	320	987
245	320	983
246	321	980
247	322	976
248	322	973
249	323	970
250	323	966
251	324	963
252	325	960
253	326	957
254	326	954
255	327	951
256	328	948
257	328	945
258	329	943
259	330	940
260	331	937
261	331	934
262	332	932
263	333	929
264	333	926
265	334	923
266	335	920
267	335	917
268	336	914
269	337	911
270	337	909
271	338	906
272	339	903
273	339	900
274	340	897
275	341	895
276	341	892
277	342	889
278	343	886
279	343	884
280	344	881
281	345	879
282	345	876
283	346	873
284	347	871
285	347	868
286	348	865
287	349	863
288	349	860
289	350	857
290	350	855
291	351	852
292	352	849
293	352	847
294	353	844
295	354	842
296	354	839
297	355	837
298	356	835
299	356	832
300	357	829
301	358	827
302	358	825
303	359	823
304	360	820
305	360	818
306	361	816
307	362	813
308	362	811
309	363	809
310	364	806
311	364	804
312	365	802
313	366	799
314	367	799
315	368	796
316	368	794
317	369	792
318	370	790
319	370	787
320	371	785
321	372	783
322	373	781
323	373	780
324	374	778
325	375	776
326	376	774
327	376	772
328	377	770
329	378	768
330	379	766
331	379	763
332	380	761
333	381	759
334	381	757
335	382	755
336	383	753
337	383	751
338	384	749
339	385	747
340	385	745
341	386	743
342	387	741
343	387	739
344	388	737
345	389	735
346	389	733
347	390	731
348	391	729
349	391	727
350	392	725
351	393	723
352	393	721
353	394	719
354	395	717
355	395	715
356	396	713
357	397	711
358	397	709
359	398	707
360	398	705
361	399	704
362	400	702
363	400	700
364	401	698
365	401	696
366	402	694
367	403	692
368	404	691
369	405	689
370	405	688
371	406	686
372	407	684
373	408	682
374	409	681
375	409	680
376	410	678
377	411	676
378	411	674
379	412	672
380	413	671
381	413	669
382	414	667
383	415	665
384	415	664
385	416	662
386	417	661
387	418	659
388	418	657
389	419	656
390	420	654
391	420	652
392	421	650
393	422	649
394	422	647
395	423	646
396	424	644
397	425	642
398	425	641
399	426	639
400	426	637
401	427	636
402	428	634
403	428	632
404	429	631
405	430	629
406	430	627
407	431	626
408	432	624
409	433	623
410	433	621
411	434	619
412	435	618
413	435	616
414	436	615
415	436	613
416	437	611
417	438	610
418	438	608
419	439	606
420	440	605
421	440	603
422	441	601
423	441	600
424	442	598
425	443	597
426	443	595
427	444	593
428	444	592
429	445	590
430	446	588
431	446	587
432	447	585
433	447	584
434	448	582
435	449	581
436	449	579
437	450	578
438	451	576
439	451	575
440	452	573
441	453	571
442	453	570
443	454	568
444	454	567
445	455	566
446	456	564
447	457	563
448	458	562
449	458	560
450	459	559
451	460	557
452	460	556
453	461	555
454	462	553
455	462	552
456	463	550
457	464	549
458	465	548
459	465	546
460	466	545
461	467	543
462	467	542
463	468	541
464	469	539
465	469	538
466	470	537
467	471	535
468	471	534
469	472	532
470	473	531
471	473	530
472	474	528
473	475	527
474	475	525
475	476	524
476	477	523
477	478	522
478	478	520
479	479	519
480	479	517
481	480	516
482	481	515
483	481	513
484	482	512
485	483	510
486	483	509
487	484	508
488	484	506
489	485	505
490	486	503
491	486	502
492	487	501
493	487	499
494	488	498
495	489	496
496	489	495
497	490	494
498	490	492
499	491	491
500	492	490
501	492	489
502	493	487
503	494	486
504	495	485
505	495	484
506	496	482
507	497	481
508	497	480
509	498	479
510	499	477
511	499	476
512	500	475
513	501	473
514	501	472
515	502	471
516	503	470
517	503	468
518	504	467
519	505	466
520	505	465
521	506	463
522	507	462
523	507	461
524	508	460
525	509	458
526	509	457
527	510	456
528	510	454
529	511	453
530	512	452
531	512	451
532	513	449
533	513	448
534	514	447
535	515	446
536	515	444
537	516	443
538	517	442
539	517	440
540	518	439
541	518	438
542	519	437
543	520	436
544	520	434
545	521	433
546	522	432
547	522	431
548	523	430
549	524	428
550	524	427
551	525	426
552	526	425
553	526	424
554	527	423
555	528	421
556	528	420
557	529	419
558	530	418
559	530	417
560	531	415
561	532	414
562	532	413
563	533	412
564	534	411
565	534	410
566	535	408
567	536	407
568	536	406
569	537	405
570	538	404
571	538	403
572	539	401
573	539	400
574	540	399
575	541	398
576	541	397
577	542	396
578	542	394
579	543	393
580	544	392
581	544	391
582	545	390
583	546	388
584	546	387
585	547	386
586	548	385
587	548	384
588	549	383
589	549	382
590	550	380
591	551	379
592	551	378
593	552	377
594	552	376
595	553	375
596	554	374
597	554	372
598	555	371
599	556	370
600	556	369
601	557	368
602	557	367
603	558	366
604	559	365
605	559	363
606	560	362
607	561	361
608	562	360
609	562	359
610	563	358
611	564	357
612	564	356
613	565	355
614	565	354
615	566	353
616	567	352
617	567	351
618	568	349
619	569	348
620	569	347
621	570	346
622	570	345
623	571	344
624	572	343
625	572	342
626	573	341
627	573	339
628	574	338
629	575	337
630	575	336
631	576	335
632	577	334
633	577	333
634	578	332
635	579	331
636	579	330
637	580	329
638	580	328
639	581	327
640	582	326
641	582	324
642	583	323
643	583	322
644	584	321
645	585	320
646	585	319
647	586	318
648	587	317
649	587	316
650	588	315
651	589	314
652	589	313
653	590	312
654	591	311
655	592	310
656	593	309
657	593	308
658	594	307
659	595	306
660	595	305
661	596	304
662	597	303
663	597	302
664	598	301
665	599	300
666	599	299
667	600	298
668	601	297
669	601	296
670	602	295
671	603	294
672	604	293
673	604	292
674	605	291
675	606	290
676	606	289
677	607	288
678	607	287
679	608	286
680	609	285
681	609	284
682	610	283
683	610	282
684	611	281
685	612	280
686	612	279
687	613	278
688	614	277
689	614	276
690	615	275
691	616	274
692	616	273
693	617	272
694	618	271
695	618	270
696	619	269
697	620	268
698	620	267
699	621	266
700	622	265
701	622	264
702	623	263
703	623	262
704	624	261
705	624	260
706	625	259
707	626	258
708	626	257
709	627	256
710	628	255
711	628	254
712	629	253
713	629	252
714	630	251
715	631	250
716	631	249
717	632	248
718	633	247
719	633	246
720	634	245
721	634	244
722	635	243
723	636	242
724	636	241
725	637	240
726	638	239
727	638	238
728	639	237
729	640	236
730	640	235
731	641	234
732	641	233
733	642	232
734	643	231
735	643	230
736	644	229
737	645	229
738	645	228
739	646	227
740	647	226
741	647	225
742	648	224
743	648	223
744	649	222
745	650	221
746	650	220
747	651	219
748	652	218
749	652	217
750	653	216
751	653	215
752	654	214
753	655	213
754	655	212
755	656	211
756	657	210
757	657	209
758	658	209
759	658	208
760	659	207
761	660	206
762	660	205
763	661	204
764	662	203
765	662	202
766	663	201
767	664	200
768	664	199
769	665	198
770	665	197
771	666	196
772	667	195
773	667	195
774	668	194
775	669	193
776	669	192
777	670	191
778	670	190
779	671	189
780	672	188
781	672	187
782	673	186
783	674	185
784	674	184
785	675	183
786	676	182
787	676	182
788	677	181
789	677	180
790	678	179
791	679	178
792	679	177
793	680	176
794	681	175
795	681	174
796	682	173
797	682	172
798	683	171
799	684	171
800	684	170
801	685	169
802	686	168
803	686	167
804	687	166
805	687	165
806	688	164
807	689	163
808	689	162
809	690	162
810	691	161
811	691	160
812	692	159
813	693	158
814	693	157
815	694	156
816	695	155
817	695	154
818	696	153
819	696	152
820	697	152
821	698	151
822	698	150
823	699	149
824	700	148
825	700	147
826	701	146
827	702	145
828	702	144
829	703	144
830	704	143
831	704	142
832	705	141
833	706	140
834	706	139
835	707	138
836	708	137
837	708	137
838	709	136
839	710	135
840	710	134
841	711	133
842	711	132
843	712	131
844	713	130
845	713	129
846	714	129
847	715	128
848	715	127
849	716	126
850	717	125
851	717	124
852	718	123
853	719	123
854	720	122
855	721	121
856	722	120
857	722	119
858	723	118
859	723	117
860	724	116
861	725	116
862	725	115
863	726	114
864	726	113
865	727	112
866	728	111
867	728	110
868	729	109
869	729	109
870	730	108
871	731	107
872	732	106
873	732	105
874	733	104
875	734	103
876	734	103
877	735	102
878	735	101
879	736	100
880	737	99
881	738	98
882	738	97
883	739	97
884	740	96
885	740	95
886	741	94
887	742	93
888	742	92
889	743	91
890	744	91
891	744	90
892	745	89
893	746	88
894	746	87
895	747	86
896	748	85
897	748	85
898	749	84
899	749	83
900	750	82
901	751	81
902	751	80
903	752	79
904	752	79
905	753	78
906	754	77
907	754	76
908	755	75
909	755	74
910	756	73
911	757	73
912	757	72
913	758	71
914	759	70
915	760	69
916	760	68
917	761	68
918	762	67
919	762	66
920	763	65
921	763	64
922	764	63
923	765	62
924	765	62
925	766	61
926	766	60
927	767	59
928	768	58
929	768	57
930	769	57
931	770	56
932	770	55
933	771	54
934	771	53
935	772	52
936	773	51
937	774	51
938	774	50
939	775	49
940	776	48
941	777	47
942	777	47
943	778	46
944	779	45
945	780	44
946	780	43
947	781	42
948	782	42
949	783	41
950	784	40
951	784	39
952	785	38
953	786	37
954	786	37
955	787	36
956	788	35
957	789	34
958	789	33
959	790	32
960	791	32
961	792	31
962	792	30
963	793	29
964	794	28
965	794	27
966	795	27
967	796	26
968	797	25
969	797	24
970	798	23
971	799	23
972	800	22
973	800	21
974	801	20
975	802	19
976	802	18
977	803	18
978	804	17
979	804	16
980	805	15
981	805	14
982	806	13
983	807	13
984	808	12
985	809	11
986	809	10
987	810	9
988	810	9
989	811	8
990	812	7
991	812	6
992	813	5
993	814	4
994	814	4
995	815	3
996	816	2
997	817	1
998	817	0
999	818	0
